Station Number,Station Name,County,Minutely,Hourly,Daily,Monthly
3723,Casement Aerodrome,Dublin,No,Yes,Yes,Yes
2175,Claremorris,Mayo,Yes,Yes,Yes,Yes
1705,Cloone Lake (Caragh River Area),Kerry,No,No,Yes,Yes
3904,Cork Airport,Cork,No,Yes,Yes,Yes
532,Dublin Airport,Dublin,No,Yes,Yes,Yes
1375,Dunsany,Meath,Yes,Yes,Yes,Yes
2075,Finner,Donegal,Yes,Yes,Yes,Yes
1475,Gurteen,Tipperary,Yes,Yes,Yes,Yes
1775,Johnstown Castle,Wexford,Yes,Yes,Yes,Yes
4935,Knock Airport,Mayo,No,Yes,Yes,Yes
275,Mace Head,Galway,Yes,Yes,Yes,Yes
1575,Malin Head,Donegal,Yes,Yes,Yes,Yes
1275,Markree Castle,Sligo,Yes,Yes,Yes,Yes
575,Moore Park,Cork,Yes,Yes,Yes,Yes
1975,Mount Dillon,Roscommon,Yes,Yes,Yes,Yes
875,Mullingar,Westmeath,Yes,Yes,Yes,Yes
1175,Newport,Mayo,Yes,Yes,Yes,Yes
375,Oak Park,Carlow,Yes,Yes,Yes,Yes
175,Phoenix Park,Dublin,Yes,Yes,Yes,Yes
1075,Roches Point,Cork,Yes,Yes,Yes,Yes
518,Shannon Airport,Clare,No,Yes,Yes,Yes
3402,Sherkin Island,Cork,No,No,Yes,Yes
775,Sherkinisland,Cork,Yes,Yes,Yes,Yes
2275,Valentia Observatory,Kerry,Yes,Yes,Yes,Yes
